"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-D1",2.51964166397094e-07,1.75918833252604,1,0.773,0.00466713225417338
"Sec61g",3.27599651786835e-06,1.54279304647722,0.963,0.727,0.0606812835004754
"Rpl34",1.01656770325572e-05,0.893205680497727,0.963,1,0.188298835674056
"Sec11c",1.18535968892391e-05,0.913130738285246,1,1,0.219564175179376
"Rexo2",1.79806039527955e-05,1.44750845126148,0.926,0.818,0.333054727017632
"Emp3",3.26249954009309e-05,2.11393505261153,0.778,0.273,0.604312789811443
"Ppib",5.27586492590438e-05,1.03767041796605,1,0.909,0.977248460225268
"Prg2",5.34481862318728e-05,-2.68777330630493,0.13,0.545,0.99002075357298
"Bank1",5.8747740103203e-05,-1.48810096146857,0.111,0.045,1
"Psmb5",6.51688029120488e-05,2.00222466511451,0.741,0.227,1
"Cd83",7.5657392560395e-05,-3.05034338568964,0.093,0.5,1
"Cox5a",8.46584446971235e-05,1.62015192918346,0.759,0.227,1
"Sdf2l1",0.000101212493082813,1.03247095198263,0.889,0.955,1
"Gbp5",0.000108817893141477,-4.46538088496848,0,0.273,1
"Lman1",0.000109036144061437,1.5364213576655,0.907,0.591,1
"Atpif1",0.000130069862075304,1.6587404268607,0.407,0.045,1
"Pdia6",0.000131624325800246,0.975191706417498,0.926,0.955,1
"Dnajb11",0.000375740315224919,0.984652035666564,0.778,0.773,1
"Rpl41",0.000418854002751278,0.851885832549016,1,1,1
"Itm2c",0.000437360281540104,-2.29545588352617,0.111,0.545,1
"Suco",0.000474354144948676,-2.33293058894483,0.222,0.682,1
"Sumo2",0.000475399894395987,1.62208195628186,0.741,0.273,1
"Itprid2",0.000495207234504631,-4.29545588352617,0,0.227,1
"Asap1",0.000495207234504632,-4.10281080558378,0,0.227,1
"Sbno2",0.000503506882702787,-3.75488750216347,0.056,0.409,1
"Ctsb",0.000554239339750668,0.289506617194985,0.278,0.091,1
"Fcrla",0.000646627785573143,-0.558490289359965,0.259,0.182,1
"Ada",0.00065086733867921,3.16397573511113,0.296,0,1
"Sec61b",0.000694630142151881,0.783662833591432,0.963,1,1
"Rap1a",0.000727729760624125,0.723403143725145,0.889,0.864,1
"Tmed10",0.000788375412302385,0.895685603825837,0.889,0.864,1
"Fdps",0.000903595201848248,2.74893823583228,0.444,0.045,1
"Taldo1",0.000967947699238792,2.5625251116014,0.444,0.045,1
"Hspb1",0.000968327225479485,-0.607399889840911,0.019,0.227,1
"Ppp1ca",0.000987205804628978,2.06209612109191,0.574,0.136,1
"Krtcap2",0.00138300152382178,0.928712162700128,0.944,0.864,1
"Fkbp11",0.001444320835808,1.4447848426729,0.796,0.545,1
"Herc4",0.00147766082082495,0.704544116473828,0.204,0.045,1
"Isy1",0.00153240216314776,-1.61738397841353,0.019,0.182,1
"Slpi",0.00158662661982786,4.50853480449806,0.556,0.136,1
"Snrpa1",0.00167113291594787,3.34840030624855,0.259,0,1
"Cnpy2",0.00169552881503525,0.470078862836806,0.556,0.636,1
"Rrbp1",0.00171014012237239,1.09984539769141,0.87,0.5,1
"Abca1",0.00171678996994443,-2.29545588352617,0.019,0.227,1
"Cox6b1",0.00176604810892195,1.73007920858097,0.648,0.273,1
"Ssr2",0.00192539882090277,1.15826208391673,0.815,0.409,1
"Spcs2",0.00217624787967091,0.603167096098747,0.981,1,1
"Bsdc1",0.00218443867751952,-3.88041838424733,0,0.182,1
"Klf10",0.00218443867751952,-3.61738397841353,0,0.182,1
"Mospd3",0.00218443867751953,-3.61738397841353,0,0.182,1
"Paf1",0.00218443867751953,-3.61738397841353,0,0.182,1
"Slc30a9",0.00218443867751953,-3.61738397841353,0,0.182,1
"Hist3h2a",0.00218443867751954,-3.88041838424733,0,0.182,1
"Pik3ap1",0.00218443867751954,-3.88041838424733,0,0.182,1
"Ttc7b",0.00218443867751955,-3.61738397841353,0,0.182,1
"Gnptab",0.00218443867751956,-3.61738397841353,0,0.182,1
"Spns3",0.00218443867751957,-3.88041838424733,0,0.182,1
"Zfp719",0.00218443867751957,-3.61738397841353,0,0.182,1
"Zfp951",0.00218443867751957,-3.61738397841353,0,0.182,1
"Bcl2l11",0.00219733023038378,-1.71049338280502,0.074,0.409,1
"Rpl39",0.0022321115878174,0.78878065364186,0.926,0.955,1
"Ndufb7",0.00230405930977325,1.11053647614967,0.704,0.273,1
"Ncor1",0.00235401179436478,2.51189903853143,0.407,0.045,1
"Spcs3",0.00256330028828751,1.04439411935845,0.796,0.636,1
"Pcna",0.00264781964017299,3.16397573511113,0.241,0,1
"Hist1h1b",0.002647819640173,4.31925396058904,0.241,0,1
"Cbx3",0.00264781964017308,2.51189903853143,0.241,0,1
"Hsp90b1",0.00269231868923304,0.882596998799541,1,1,1
"Nufip2",0.00269512914505734,-0.447458976971221,0.148,0.091,1
"Atp5e",0.00285025766450498,1.17486405125386,0.889,0.682,1
"Ndufa1",0.00285271419529849,0.874469117916141,0.815,0.409,1
"Bst2",0.00289102472427352,0.899560098878971,0.87,0.5,1
"Ndufb9",0.00292228082885592,0.906177977643479,0.815,0.409,1
"Erp29",0.00293215799284051,1.34500172978669,0.833,0.5,1
"Vbp1",0.00303934858900045,0.579013234389969,0.185,0.045,1
"Txnip",0.00305506407290757,-1.56554504689392,0.278,0.682,1
"Xbp1",0.00306869004043363,0.878915022947333,0.981,0.909,1
"Tgoln1",0.00317965723000972,-2.16992500144231,0.074,0.409,1
"Edem1",0.00327703807153461,0.792006957724168,0.944,0.636,1
"Rbx1",0.00339100197349963,1.40498383461492,0.741,0.409,1
"Coro1a",0.00346670417001819,0.420751150473238,0.37,0.136,1
"Cd52",0.00355999025634986,1.7197465231175,0.889,0.727,1
"Dclk2",0.00366287909574789,-2.39499155707709,0.074,0.409,1
