"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps18",3.38628956158176e-12,-0.895460742404746,0.989,1,6.2724241549179e-08
"Cmss1",2.38275224671347e-11,-1.30770538375166,0.859,0.9,4.41357198658737e-07
"Tmsb4x",2.90618793976928e-11,-0.949281268684822,0.996,1,5.38313192083463e-07
"Rpl19",7.63191156022448e-11,-0.701038401826318,0.996,1,1.41365897830038e-06
"Gm42418",2.18397230078962e-10,-1.08947438714924,1,1,4.0453718927526e-06
"Rpl13",2.1938094354556e-09,-0.666083468087812,1,1,4.0635932172944e-05
"Rps3",2.21071785920368e-09,-0.738185116674063,0.996,1,4.09491269060298e-05
"Eef1a1",3.61972965432779e-09,-0.682377795839072,1,1,6.70482523871137e-05
"Rps11",6.3185735317438e-09,-0.737900813778102,0.996,1,0.00011703893752849
"Rpsa",9.74069240597587e-09,-0.706036437515332,1,1,0.000180426845435891
"Tpt1",1.3057736862645e-08,-0.632696464589645,1,1,0.000241868459906773
"Rps5",1.31335299304452e-08,-0.631759792232849,1,1,0.000243272374901636
"Rps9",2.59812357926404e-08,-0.614792323523624,0.996,1,0.000481250430587078
"Rps15a",2.39027454236625e-07,-0.633502682872065,1,1,0.00442750553482501
"Rps24",2.4598162320887e-07,-0.598420212260593,1,1,0.0045563176066979
"Arhgap15",3.82814109982585e-07,0.596000852385517,0.996,0.991,0.00709086575920743
"Rpl24",4.87071860242958e-07,-0.570975870799488,0.996,1,0.0090220320672803
"Fau",7.00027237129332e-07,-0.553800726991355,1,1,0.0129666045133466
"Rpl11",8.1166785728649e-07,-0.544486887912429,1,1,0.0150345237205177
"Plac8",1.10391066936967e-06,-0.782304253654692,0.92,0.973,0.0204477373287344
"AY036118",1.10473243825726e-06,-0.730281635604842,0.989,0.955,0.0204629589538392
"Isg15",1.39881612671447e-06,-0.925203809429942,0.738,0.818,0.0259102711151321
"Rpl27a",1.5081521734619e-06,-0.520957126631924,1,1,0.0279355027090348
"Rplp1",1.66849052933696e-06,-0.527735750845456,1,1,0.0309054500749085
"Rpl32",2.74136136085706e-06,-0.588669429088108,1,1,0.0507782364871553
"Lncpint",2.80236298892371e-06,0.913535320421248,0.935,0.827,0.0519081696438338
"Rps23",3.89886411076786e-06,-0.493062999876633,1,1,0.072218659923753
"Rpl18a",4.04996332377017e-06,-0.519883169377822,1,1,0.0750174706461949
"Rpl13a",4.08176451714483e-06,-0.57099863503868,1,0.982,0.0756065241510738
"Rpl17",4.42480608403016e-06,-0.539487993353907,0.996,1,0.0819606830944906
"Rplp0",6.47517777104389e-06,-0.496152822338138,1,1,0.119939717853046
"Atp5h",7.33798564237655e-06,-0.610440298983917,0.783,0.818,0.135921508053741
"Nr3c1",7.66327657403881e-06,1.01301051359678,0.776,0.555,0.141946871980921
"Pfn1",7.74330634448624e-06,-0.574573402303103,0.992,1,0.143429263418919
"Rps14",8.02674745152105e-06,-0.49554230954607,1,1,0.148679443044524
"mt-Co3",1.17130030231356e-05,-0.451644715484688,1,1,0.216959954997541
"Emb",1.36692508228236e-05,1.00608016049686,0.909,0.782,0.253195532991161
"Btf3",1.80858146281845e-05,-0.636437111751068,0.894,0.891,0.335003544357861
"Actb",2.26485341821924e-05,-0.529819580609901,1,1,0.41951879865675
"Xist",2.7621054791588e-05,1.07947571150993,0.772,0.627,0.511624797904585
"Rpl10",2.97469188540671e-05,-0.555395564144096,0.905,0.964,0.551002177933885
"Lgals1",3.29182106275629e-05,-0.718463783803815,0.848,0.927,0.609744015454348
"Rpl15",4.0589796500888e-05,-0.489614376904001,0.992,0.991,0.751844800585949
"Rpl30",4.48482401891432e-05,-0.421445360728615,0.996,1,0.830723953023499
"Slc4a7",4.55283379264586e-05,2.07947571150993,0.247,0.109,0.843321403411792
"Epb41",4.80440113269719e-05,1.00042190233987,0.696,0.564,0.8899192218095
"Rpl23",5.16547543321728e-05,-0.423741304382454,1,1,0.956801014494836
"Rps26",5.38456893806254e-05,-0.558425755127176,0.977,0.991,0.997383704397324
"Rps4x",6.52409933727629e-05,-0.533586520046397,0.996,1,1
"Rps7",6.80716260985175e-05,-0.474238045909697,1,0.991,1
"Sh3bgrl3",7.63388521101845e-05,-0.582711271529291,0.935,0.982,1
"Rps10",9.76675798731451e-05,-0.482358194811186,1,1,1
"Rpl36",0.000101668953460627,-0.450204353710039,0.992,1,1
"Serf2",0.000102120712267256,-0.571474850603621,0.905,0.936,1
"Rps16",0.00012966581150239,-0.393417296013396,1,1,1
"Rpl35a",0.000136223389416171,-0.448812462583367,1,1,1
"Rpl21",0.000137950129380464,-0.427686917148611,0.985,0.973,1
"Adipor1",0.000139562538838673,-3.04183058471221,0.023,0.136,1
"Rps8",0.000152819793047163,-0.441582644539248,1,1,1
"Hivep2",0.000159405457455906,0.871082875671462,0.749,0.655,1
"Rpl8",0.000173524334291028,-0.413560034678341,0.996,0.982,1
"Rps27a",0.000184516876917348,-0.464279538921762,1,1,1
"Ndufb1-ps",0.000191013742923763,-2.11170840930419,0.053,0.191,1
"4932438A13Rik",0.000198128536411509,0.981227583819474,0.483,0.355,1
"Rps13",0.000223045652469655,-0.456565010440238,0.996,1,1
"Gzmb",0.000223828739043525,-0.998172646948993,0.548,0.655,1
"H2-D1",0.000238897526587696,0.454384051924131,1,0.991,1
"Rpl14",0.000244891420325164,-0.550664535489251,0.928,0.945,1
"Mrps25",0.000246688034471844,-2.8425217764888,0.008,0.091,1
"Igkc",0.000248163777951767,-0.31726552189191,0.106,0.027,1
"Cd28",0.000283507656006824,1.0469078490535,0.521,0.355,1
"Acvr2a",0.00029000745013619,4.13475814701112,0.103,0.009,1
"Ubb",0.000291729703964054,-0.546108246036732,0.992,0.991,1
"Ptpn22",0.000298825013437968,0.50211698271345,0.97,0.936,1
"Rpl35",0.000312416794473663,-0.568102607175381,0.738,0.791,1
"mt-Nd4l",0.000330969850093651,1.09096302913143,0.281,0.2,1
"Rps3a1",0.000341539591662794,-0.562552079575536,1,1,1
"Tmsb10",0.000348627329173583,-0.439635111999851,0.996,1,1
"Wnk1",0.000361552600325847,0.618350376507713,0.954,0.864,1
"Zc3hav1",0.000374709931293706,0.693705057688675,0.939,0.945,1
"H2-T22",0.000375231990170707,-1.41703748977484,0.118,0.291,1
"Eef1b2",0.000404243999789834,-0.519144464964367,0.897,0.964,1
"Rpl26",0.000446836513685667,-0.414187454596497,0.992,1,1
"Rpl4",0.000484268407079451,-0.553952278547868,0.84,0.9,1
"Rps20",0.000505302766962024,-0.440589264833317,1,1,1
"Rad18",0.000526774960480653,3.60042171935993,0.068,0,1
"Rufy1",0.000526774960480661,3.78683484359081,0.068,0,1
"Ifi27l2a",0.000529324372359109,-0.638763179970611,0.977,0.991,1
"Rpl34",0.000539072674702698,-0.383572422619786,0.996,1,1
"Rpl27",0.000539301608656363,-0.425036126205231,1,1,1
"Actg1",0.000653596729436993,-0.369887975870519,0.996,0.991,1
"Rpl37",0.000719485499756967,-0.358724192903216,0.992,1,1
"Rpl37a",0.000768193133015412,-0.504884989243845,1,1,1
"Rbm15b",0.000788094975232799,-3.8425217764888,0,0.045,1
"Ptdss2",0.000788094975232834,-3.8425217764888,0,0.045,1
"Rps6",0.000926442775811238,-0.482204852397127,0.954,0.991,1
"Dcps",0.00102569485233486,-2.12005575201771,0.019,0.109,1
"Rps12",0.00105452445760151,-0.388803809045895,0.996,1,1
"Tox",0.00106791348323731,0.895175964377154,0.483,0.391,1
"Arf5",0.00124132736687213,-0.62329385530441,0.662,0.782,1
"Rybp",0.00124740226620425,1.84397875069442,0.163,0.073,1
"Ablim1",0.00128364566833583,0.679613886776918,0.669,0.509,1
"Selenow",0.00129475241068515,-0.58307467886276,0.707,0.773,1
"Ifit3",0.00132060917142757,-1.64458239887689,0.099,0.218,1
