"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-D1",1.19632515294756e-18,0.669659830032889,1,0.994,2.21595308080477e-14
"Gm10260",2.30791755757332e-18,5.81532808043412,0.291,0,4.27495569189306e-14
"Gm11361",1.32134919820408e-17,3.86197817373294,0.384,0.031,2.44753511983341e-13
"mt-Co3",5.31051209309764e-10,-0.501018932250895,1,1,9.83666155004477e-06
"Rps18",7.08449361794547e-10,-0.527138388939708,1,1,1.31226075285204e-05
"H2-Eb1",1.13853777396113e-09,-0.614455940269193,0.961,0.957,2.1089135187082e-05
"mt-Co2",1.25178034962601e-09,-0.432000071303363,1,1,2.31867274161226e-05
"Rps21",2.43697749923951e-09,0.418199819407132,1,1,4.51401342184135e-05
"Ubb",1.42358126631571e-08,-0.531732708626996,0.966,0.988,0.000263689957959659
"mt-Nd1",2.6459672628934e-08,-0.591717075355209,0.946,0.963,0.000490112516105745
"Il5ra",3.12745704731925e-08,-1.94795069198849,0.167,0.41,0.000579298868874944
"Bcl11a",7.8445201725687e-08,1.18229516067832,0.616,0.416,0.0014530404715649
"Gm30382",2.4361660557025e-07,-2.22423612132014,0.044,0.236,0.00451251038497774
"Atf3",2.65382124602946e-07,-1.52308060309446,0.099,0.329,0.00491567309402036
"Jund",3.00124330538851e-07,-0.720327759859743,0.897,0.981,0.00555920297457113
"Dnase1l3",3.54853589087373e-07,-2.44133424298707,0.054,0.242,0.0065729530306654
"mt-Atp6",4.53931564335237e-07,-0.356912401491306,1,1,0.00840817436618159
"Asph",4.68264709018682e-07,-2.05770969633969,0.148,0.373,0.00867366720515305
"Rbm47",5.46776697627603e-07,-1.67274157220859,0.217,0.404,0.0101279447701561
"Cd9",6.93576425739873e-07,-1.90270279864509,0.103,0.311,0.0128471161339797
"Uty",7.46940024585623e-07,-2.08444078606221,0.02,0.155,0.0138355700753995
"mt-Cytb",8.16737918700874e-07,-0.443976631956534,1,0.994,0.0151284364680963
"Cd52",8.17453896786698e-07,0.584585979447419,1,0.975,0.01514169853018
"Ralgps2",8.83152871373049e-07,0.929823148366541,0.783,0.609,0.016358640636443
"Ptprc",1.11881254627077e-06,0.576630038019692,0.961,0.857,0.0207237647945734
"Bank1",1.12889424556929e-06,0.594840569636654,0.97,0.938,0.02091050811068
"Camk1d",1.41020169447494e-06,0.744853730587849,0.837,0.627,0.0261211659867592
"Inpp5f",1.62990555933993e-06,1.92039485995827,0.32,0.118,0.0301907406756536
"Tpt1",1.89894876788954e-06,-0.257624308672592,1,1,0.0351742280276179
"Sox5",3.2436043961931e-06,-1.20408717072288,0.296,0.516,0.0600812842306849
"Cmss1",3.74631711758667e-06,-0.708036610969422,0.675,0.826,0.0693930319690579
"Rasgrp3",5.14972992725456e-06,1.15284678776346,0.522,0.298,0.0953884474425363
"Cebpb",5.2506210324791e-06,-0.904508263310185,0.222,0.466,0.0972572533846105
"Elmo1",5.85172624426913e-06,0.711454009213807,0.882,0.739,0.108391525222597
"H3f3b",5.87564133962843e-06,-0.443637920265041,0.985,1,0.108834504533937
"Junb",6.00319900302006e-06,-0.686837501179643,0.552,0.789,0.111197255132941
"Ctla4",6.00585604514355e-06,-1.76002578005959,0.143,0.335,0.111246471524194
"Cacna1s",6.98779939581824e-06,-2.33441903907056,0.034,0.186,0.129435008208741
"Ankrd9",7.30335655128321e-06,-3.65634713395792,0.005,0.112,0.135280073399419
"Odc1",7.79734181662241e-06,-1.27525696660242,0.31,0.491,0.144430162469297
"Gm47957",7.89513311668435e-06,-2.19691551532062,0.044,0.205,0.146241550720344
"Plac8",8.13990352651662e-06,-0.778162122059907,0.729,0.876,0.150775433021667
"Ms4a4c",9.33898868907596e-06,-0.384172074267659,0.419,0.304,0.172986087487754
