"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm11361",8.3672233128589e-77,3.43083589642613,0.4,0.044,1.54986077424085e-72
"Gm10260",9.89215637328354e-74,7.86398551993838,0.264,0,1.83232412502331e-69
"H2-D1",1.42408320925955e-68,0.553240505662951,0.999,0.999,2.63782932851146e-64
"mt-Co3",3.87450338908952e-67,-0.553629336375538,1,0.999,7.17674262761051e-63
"Rps18",1.2013415944985e-45,-0.468034149495757,1,1,2.22524503548957e-41
"Ubb",4.49726116987512e-36,-0.566114090661665,0.975,0.993,8.33027686495968e-32
"Rpl10",1.09401152958869e-31,-0.503418265577055,0.926,0.953,2.02643755625714e-27
"Cmss1",2.00149666489743e-30,-0.727885077051136,0.733,0.85,3.70737227238952e-26
"mt-Co2",5.78709322206149e-29,-0.334145041751354,0.999,0.999,1.07194327752245e-24
"mt-Nd1",1.3139153317072e-28,-0.550619346878755,0.898,0.95,2.43376536892125e-24
"Rpl35",1.77863848875551e-25,-0.537145752256607,0.831,0.903,3.29457207272182e-21
"Xist",2.17363727148482e-25,0.731281588383052,0.643,0.391,4.02622831797133e-21
"Rpl13a",4.40462751893148e-24,-0.388740321817672,0.992,0.997,8.15869155331678e-20
"Rpl36",9.23503956178485e-23,0.308209902027481,1,0.999,1.71060637802941e-18
"mt-Co1",1.44076685781543e-22,-0.294462473822092,1,0.999,2.66873245073152e-18
"mt-Atp6",2.09367771001932e-20,-0.256316104616147,1,0.999,3.87811922226878e-16
"St6galnac3",5.12920931399423e-19,1.33832436690674,0.594,0.494,9.50083441231152e-15
"Rpl39",2.07864865885605e-18,0.261668141972109,1,1,3.85028091079906e-14
"Plin2",2.10653537327963e-18,2.68960462685902,0.22,0.087,3.90193547192585e-14
"mt-Cytb",2.84474526391279e-18,-0.383114181242593,0.98,0.988,5.26932165234566e-14
"H2-Q7",3.86613828694607e-18,-0.431470363587796,0.894,0.936,7.16124794891021e-14
"Clca3a1",1.32853950929597e-17,5.64028926205508,0.065,0,2.46085373306893e-13
"Rbm3",1.35943903197479e-16,-0.508057487276697,0.701,0.793,2.51808891892691e-12
"Tpt1",1.20748068100499e-15,-0.181791937142295,1,1,2.23661646542555e-11
"Rpl12",3.31914992176087e-15,-0.293112001188744,0.999,0.999,6.14806140007766e-11
"Rpl37",9.95923055719473e-15,0.231245986953502,0.999,1,1.84474827610918e-10
"Rpl37a",5.1051564008992e-14,0.220330983328505,1,1,9.45628120138559e-10
"Pdk4",5.32639754046031e-14,6.51641760389291,0.051,0,9.86608616419463e-10
"H2-Q6",7.79471535327603e-14,-0.66349148612202,0.446,0.573,1.44381512488732e-09
"Rpl5",2.38800052453617e-12,-0.34215843972356,0.874,0.918,4.42329337159835e-08
"Btg1",3.9181164281616e-12,0.346457376455477,0.961,0.926,7.25752705988373e-08
"Rps21",2.31198044951428e-11,0.188283222363261,0.999,1,4.2824813866353e-07
"Uba52",1.11447461415351e-10,0.677932784391139,0.459,0.311,2.06434132779654e-06
"Gzmb",1.20137053902362e-10,-1.34234273493285,0.222,0.294,2.22529864943345e-06
"Dusp5",2.71608516789119e-10,1.01054285231773,0.33,0.202,5.03100455648486e-06
"Ifitm2",2.97985457832818e-10,-1.70241047541432,0.047,0.135,5.51958463543728e-06
"Rplp2",8.19292716380064e-10,0.183395988904773,1,1,1.51757589855079e-05
"Rps27rt",1.20615327266078e-09,0.611926644167606,0.438,0.291,2.23415770694956e-05
"S100a6",1.5841584233335e-09,-0.416959711200155,0.575,0.714,2.93433664754064e-05
"Rpl17",2.45902543263645e-09,-0.187318428023183,0.999,0.999,4.5548528088725e-05
"BC023719",2.59321141519472e-09,4.72882593665674,0.032,0,4.80340550436518e-05
"Ifitm3",3.45168160814652e-09,-1.474457661732,0.127,0.227,6.39354984276981e-05
"Tmsb10",3.79140310427405e-09,-0.210426646446193,0.996,0.999,7.02281597004683e-05
"Gm8909",4.32770432203453e-09,4.54596187950693,0.032,0,8.01620671570455e-05
"Gm26917",1.30601839481161e-08,0.602918774598685,0.54,0.42,0.000241913787270955
"Rnaset2a",1.40985757740604e-08,0.899444708269137,0.243,0.132,0.00026114791906292
"Rpl41",1.81263449750325e-08,0.209850714894081,0.998,0.996,0.000335754287972528
"Lgals3",1.90943154137988e-08,-0.903161898890304,0.117,0.222,0.000353684004409795
"Zeb2",2.24822488840441e-08,1.3154907326089,0.2,0.111,0.000416438696079148
"Rack1",2.4558685855269e-08,-0.25452634058688,0.97,0.974,0.000454900538097147
"Cblb",2.5625747249202e-08,0.37275272798767,0.862,0.802,0.000474665716296968
"Hspa1b",2.9452550945804e-08,-0.513324466791657,0.463,0.583,0.000545549601169127
"Glul",3.56913989898866e-08,1.3725777685855,0.172,0.085,0.00066111178348967
"Emb",3.78898296139192e-08,0.438725969216563,0.811,0.716,0.000701833313938625
"Vim",3.85254726017901e-08,-0.372892331926023,0.499,0.637,0.000713607329002958
"Gm10076",4.81507588772615e-08,-0.727841897532078,0.215,0.319,0.000891896506683515
"Rpl6",8.04894160360845e-08,-0.203869249126662,0.988,0.996,0.00149090545323639
"AY036118",1.17111029818255e-07,0.301352068464363,0.944,0.904,0.00216924760532353
"Fth1",1.53995282428476e-07,-0.274159263989165,0.96,0.975,0.00285245461642267
"Gm2000",1.70512169209788e-07,0.55304820896899,0.39,0.265,0.0031583969102729
"Ftl1",1.91649495467062e-07,-0.316253972057636,0.763,0.843,0.00354992360453639
"BE692007",2.23005162218297e-07,0.665096920860173,0.422,0.327,0.00413072461976952
"Fxyd5",2.39051980826658e-07,-0.261726343936214,0.773,0.864,0.00442795984085219
